track_name,artists,macro_genre,popularity
Brown-Eyed Women - Live,Trampled by Turtles,folk-acustico,35
Ophelia - Live,The Wood Brothers,folk-acustico,35
"Every Time You Say Goodbye - Live From The Louisville Palace, Kentucky / 2002",Alison Krauss & Union Station,folk-acustico,27
In the Curve - Bonus Track,The Avett Brothers,folk-acustico,29
"Oh, Atlanta - Live From The Louisville Palace, Kentucky / 2002",Alison Krauss & Union Station,folk-acustico,27
Cassidy - Live,Greensky Bluegrass,folk-acustico,26
Wagon Wheel - Live,Old Crow Medicine Show;David Rawlings,folk-acustico,26
"Tiny Broken Heart - Live From The Louisville Palace, Kentucky / 2002",Alison Krauss & Union Station,folk-acustico,25
Shakedown Street - Live,Yonder Mountain String Band,folk-acustico,25
Windshield 2/1: The Anthem - Live,Greensky Bluegrass;Holly Bowling,folk-acustico,24
You Don’t Have To Move That Mountain - Live From The Freight And Salvage/2000,Nickel Creek,folk-acustico,23
This Must Be The Place (Bonus Track) [Naive Melody],Horseshoes & Hand Grenades,folk-acustico,24
Middle Mountain Towns - Live,Greensky Bluegrass,folk-acustico,24
"Take Me For Longing - Live From The Louisville Palace, Kentucky / 2002",Alison Krauss & Union Station,folk-acustico,23
Brokedown Palace 9/25: The Caverns - Live,Greensky Bluegrass,folk-acustico,23
"Cluck Old Hen - Live From The Louisville Palace, Kentucky / 2002",Alison Krauss & Union Station,folk-acustico,23
"But You Know I Love You - Live From The Louisville Palace, Kentucky / 2002",Alison Krauss & Union Station,folk-acustico,23
Old Rattler - Rerecorded,Grandpa Jones,folk-acustico,24
"Faraway Land - Live From The Louisville Palace, Kentucky / 2002",Alison Krauss & Union Station,folk-acustico,23
Ecstasy (Instrumental Edit),Crooked Still,folk-acustico,43
Seesaw - Instrumental,Mike Marshall;Edgar Meyer;Béla Fleck,folk-acustico,22
Let It Rock - Live,Jerry Garcia Band;Jerry Garcia,folk-acustico,23
"Maybe - Live From The Louisville Palace, Kentucky / 2002",Alison Krauss & Union Station,folk-acustico,22
"Broadway - Live From The Louisville Palace, Kentucky / 2002",Alison Krauss & Union Station,folk-acustico,23
"A Tribute To Peador O'Donnell / Monkey Let The Hogs Out - Live From The Louisville Palace, Kentucky / 2002",Alison Krauss & Union Station,folk-acustico,22
"We Hide & Seek - Live From The Louisville Palace, Kentucky / 2002",Alison Krauss & Union Station,folk-acustico,22
Blue Night (Live),Hot Rize,folk-acustico,21
Run for the Roses - Live,Jerry Garcia Band;Jerry Garcia,folk-acustico,22
Uncommon Ritual - Instrumental,Mike Marshall;Edgar Meyer;Béla Fleck,folk-acustico,21
Blue and Green - Live at the Fillmore,The Wood Brothers,folk-acustico,24
Head Full Of Doubt/Road Full Of Promise - Live At Bojangles' Coliseum/2009,The Avett Brothers,folk-acustico,24
Trouble in Mind - Live,The Wood Brothers,folk-acustico,24
Tore Up Over You - Live,Jerry Garcia Band;Jerry Garcia,folk-acustico,22
Sitting In Limbo - Live,Jerry Garcia Band;Jerry Garcia,folk-acustico,22
Tried and Tempted - Live,The Wood Brothers,folk-acustico,24
I And Love And You - Live At Bojangles' Coliseum/2009,The Avett Brothers,folk-acustico,23
"New Favorite - Live From The Louisville Palace, Kentucky / 2002",Alison Krauss & Union Station,folk-acustico,21
The Harder They Come - Live,Jerry Garcia Band;Jerry Garcia,folk-acustico,22
I'll Take A Melody - Live,Jerry Garcia Band;Jerry Garcia,folk-acustico,22
Fat Bottom Girls - Remastered,Hayseed Dixie,folk-acustico,21
Happiness Jones/Express Yourself - Live at the Fillmore,The Wood Brothers,folk-acustico,23
Talk On Indolence - Live At Bojangles' Coliseum/2009,The Avett Brothers,folk-acustico,23
